pname,playtime
MrDizzy,5833235
Tungsten,5812156
onwiheg,5811576
AsparasYuuki,5811364
Thraspic,5807096
flotson,5806541
generaletaddeo,5804717
Mousus6,5783939
quayzong,5742395
EthnicCake,5740240
december121212,5716038
LaularuKyrumo,5709485
jt,5707631
iafm,5703175
AlphaQ,5699723
Renzlar,5697794
krigyl,5697069
puimuR,5682213
violentviolet,5667151
swap,5665230
Caerwyn,5654358
daftfad,5654071
papilio,5651950
Gilihad,5650252
crate,5648808
MakMorn,5648009
Utis,5645693
Iwillforgetthis,5643740
Noname,5639759
rjrrt,5627790
fazisi,5614792
ShadedKnight,5589466
InternetKraken,5589305
cosmonaut,5583142
inmateoo,5575355
Curus,5569068
jazmu,5566844
codrus,5559384
estick,5555084
Mekire,5544996
Dazliare,5537023
doy,5522873
Stathol,5522108
magistern,5517987
hayenne,5511392
Bcadren,5498449
Anonymous1,5486315
MrRokkomies,5481063
dscm,5480981
Neuromancer,5479216
uiopuipo,5451563
valrus,5447603
Lightli,5447455
Somebody,5442337
haldagan,5433072
ebarrett,5422974
fakechuck,5412485
modargo,5411883
Zigma,5411234
cryptstride,5404450
ggurman,5400836
Jaiteiro,5392721
matti1234,5390372
hurdos,5387603
Napkin,5385962
Flugkiller,5383682
emf,5382378
okmg321,5364910
Psyclone,5363372
Egon,5361903
raetorn,5361389
Zicher,5351464
Moose,5349284
tcjsavannah,5330395
TAS2012,5325280
aperiodic,5323770
pedant,5317647
Xqipyl,5312497
Grivan,5308492
Temoid,5306827
ribbit,5294220
corvin,5280415
Borgoz,5272735
Corinon,5269577
TittyCrusher,5266680
Strat,5264103
Vojta,5260195
ShyGuy,5247336
ololoev,5245772
radinms,5221935
0gre,5204324
DeepDeath,5202677
sakakibara80,5201228
sdynet,5186331
malcoda,5181683
Kave,5181046
crawlie,5177046
FearTheChris,5166880
teukkam,5161978
bande,5161142
Archibald,5159472
Sapher,5149504
demenzo,5147918
ImOTab,5144217
Erg,5133920
petzl,5130954
Aule,5118876
Faydane,5107716
ducks72,5103228
Majang,5081129
Stalza,5078351
Moorlo,5075859
YunYun,5074231
regis,5053280
ddaybell,5047546
DeadlyKitten,5038459
odiv,5026189
m00se,5010724
pentaxis93,5005370
advil,4997008
pivotal,4995283
miz,4978343
Morgoth,4977266
PanSaczeczos,4965218
tilp,4960322
Foxy,4943159
reid,4941731
Lanoc,4936589
mollymolluskus,4928992
Wop,4923206
uru,4917801
swinepaste,4916905
Kyrris,4914590
mdk,4907187
ardl,4905454
Izverg,4902219
jilles,4901438
pfcuttle,4892124
runaticshow,4890696
Neil,4886282
Ragdoll,4885121
Medar,4882765
Evablue,4880785
tstbtto,4878856
Shayle,4873313
Dustman,4862264
dracomuter,4861110
koboldina,4856274
nikopol,4842395
blase,4835546
Sorbius,4834722
Sporophyte,4826933
daf,4825612
theanonym,4794712
Rexfelis,4771631
Niven,4768799
ArcanElement,4763817
won,4746589
DunwichHorror,4744281
Cyrus,4740311
bogs101,4735394
Anym,4735179
enarc13,4725125
